club,busyness,date
ANTAKALNIS,10%,2021-12-12 16:00:06
BANGINIS,11%,2021-12-12 16:00:06
EUROPA,9%,2021-12-12 16:00:06
FABIJONIŠKĖS,10%,2021-12-12 16:00:06
PERKŪNKIEMIS,10%,2021-12-12 16:00:06
PILAITĖ,10%,2021-12-12 16:00:06
SAVANORIAI,9%,2021-12-12 16:00:06
ŠILAINIAI,13%,2021-12-12 16:00:06
ŽALGIRIO ARENA,12%,2021-12-12 16:00:06
ANTAKALNIS,8%,2021-12-12 17:00:06
BANGINIS,13%,2021-12-12 17:00:06
EUROPA,6%,2021-12-12 17:00:06
FABIJONIŠKĖS,9%,2021-12-12 17:00:06
PERKŪNKIEMIS,9%,2021-12-12 17:00:06
PILAITĖ,10%,2021-12-12 17:00:06
SAVANORIAI,10%,2021-12-12 17:00:06
ŠILAINIAI,13%,2021-12-12 17:00:06
ŽALGIRIO ARENA,7%,2021-12-12 17:00:06
ANTAKALNIS,12%,2021-12-12 18:00:06
BANGINIS,15%,2021-12-12 18:00:06
EUROPA,6%,2021-12-12 18:00:06
FABIJONIŠKĖS,13%,2021-12-12 18:00:06
PERKŪNKIEMIS,15%,2021-12-12 18:00:06
PILAITĖ,11%,2021-12-12 18:00:06
SAVANORIAI,13%,2021-12-12 18:00:06
ŠILAINIAI,8%,2021-12-12 18:00:06
ŽALGIRIO ARENA,10%,2021-12-12 18:00:06
ANTAKALNIS,12%,2021-12-12 19:00:06
BANGINIS,14%,2021-12-12 19:00:06
EUROPA,5%,2021-12-12 19:00:06
FABIJONIŠKĖS,15%,2021-12-12 19:00:06
PERKŪNKIEMIS,10%,2021-12-12 19:00:06
PILAITĖ,9%,2021-12-12 19:00:06
SAVANORIAI,11%,2021-12-12 19:00:06
ŠILAINIAI,10%,2021-12-12 19:00:06
ŽALGIRIO ARENA,10%,2021-12-12 19:00:06
ANTAKALNIS,4%,2021-12-12 20:00:58
BANGINIS,8%,2021-12-12 20:00:58
EUROPA,1%,2021-12-12 20:00:58
FABIJONIŠKĖS,3%,2021-12-12 20:00:58
PERKŪNKIEMIS,0%,2021-12-12 20:00:58
PILAITĖ,0%,2021-12-12 20:00:58
SAVANORIAI,9%,2021-12-12 20:00:58
ŠILAINIAI,4%,2021-12-12 20:00:58
ŽALGIRIO ARENA,4%,2021-12-12 20:00:58
ANTAKALNIS,1%,2021-12-12 21:00:06
BANGINIS,9%,2021-12-12 21:00:06
EUROPA,0%,2021-12-12 21:00:06
FABIJONIŠKĖS,0%,2021-12-12 21:00:06
PERKŪNKIEMIS,0%,2021-12-12 21:00:06
PILAITĖ,0%,2021-12-12 21:00:06
SAVANORIAI,11%,2021-12-12 21:00:06
ŠILAINIAI,2%,2021-12-12 21:00:06
ŽALGIRIO ARENA,0%,2021-12-12 21:00:06
ANTAKALNIS,0%,2021-12-12 22:00:06
BANGINIS,4%,2021-12-12 22:00:06
EUROPA,0%,2021-12-12 22:00:06
FABIJONIŠKĖS,0%,2021-12-12 22:00:06
PERKŪNKIEMIS,0%,2021-12-12 22:00:06
PILAITĖ,0%,2021-12-12 22:00:06
SAVANORIAI,7%,2021-12-12 22:00:06
ŠILAINIAI,1%,2021-12-12 22:00:06
ŽALGIRIO ARENA,0%,2021-12-12 22:00:06
ANTAKALNIS,0%,2021-12-12 23:00:06
BANGINIS,5%,2021-12-12 23:00:06
EUROPA,0%,2021-12-12 23:00:06
FABIJONIŠKĖS,0%,2021-12-12 23:00:06
PERKŪNKIEMIS,0%,2021-12-12 23:00:06
PILAITĖ,0%,2021-12-12 23:00:06
SAVANORIAI,3%,2021-12-12 23:00:06
ŠILAINIAI,1%,2021-12-12 23:00:06
ŽALGIRIO ARENA,0%,2021-12-12 23:00:06
ANTAKALNIS,0%,2021-12-13 00:00:07
BANGINIS,2%,2021-12-13 00:00:07
EUROPA,0%,2021-12-13 00:00:07
FABIJONIŠKĖS,0%,2021-12-13 00:00:07
PERKŪNKIEMIS,0%,2021-12-13 00:00:07
PILAITĖ,0%,2021-12-13 00:00:07
SAVANORIAI,2%,2021-12-13 00:00:07
ŠILAINIAI,1%,2021-12-13 00:00:07
ŽALGIRIO ARENA,0%,2021-12-13 00:00:07
ANTAKALNIS,0%,2021-12-13 01:00:06
BANGINIS,0%,2021-12-13 01:00:06
EUROPA,0%,2021-12-13 01:00:06
FABIJONIŠKĖS,0%,2021-12-13 01:00:06
PERKŪNKIEMIS,0%,2021-12-13 01:00:06
PILAITĖ,0%,2021-12-13 01:00:06
SAVANORIAI,2%,2021-12-13 01:00:06
ŠILAINIAI,1%,2021-12-13 01:00:06
ŽALGIRIO ARENA,0%,2021-12-13 01:00:06
ANTAKALNIS,0%,2021-12-13 02:00:06
BANGINIS,1%,2021-12-13 02:00:06
EUROPA,0%,2021-12-13 02:00:06
FABIJONIŠKĖS,0%,2021-12-13 02:00:06
PERKŪNKIEMIS,0%,2021-12-13 02:00:06
PILAITĖ,0%,2021-12-13 02:00:06
SAVANORIAI,2%,2021-12-13 02:00:06
ŠILAINIAI,1%,2021-12-13 02:00:06
ŽALGIRIO ARENA,0%,2021-12-13 02:00:06
ANTAKALNIS,0%,2021-12-13 03:00:06
BANGINIS,0%,2021-12-13 03:00:06
EUROPA,0%,2021-12-13 03:00:06
FABIJONIŠKĖS,0%,2021-12-13 03:00:06
PERKŪNKIEMIS,0%,2021-12-13 03:00:06
PILAITĖ,0%,2021-12-13 03:00:06
SAVANORIAI,1%,2021-12-13 03:00:06
ŠILAINIAI,1%,2021-12-13 03:00:06
ŽALGIRIO ARENA,0%,2021-12-13 03:00:06
ANTAKALNIS,0%,2021-12-13 04:00:06
BANGINIS,0%,2021-12-13 04:00:06
EUROPA,0%,2021-12-13 04:00:06
FABIJONIŠKĖS,0%,2021-12-13 04:00:06
PERKŪNKIEMIS,0%,2021-12-13 04:00:06
PILAITĖ,0%,2021-12-13 04:00:06
SAVANORIAI,0%,2021-12-13 04:00:06
ŠILAINIAI,1%,2021-12-13 04:00:06
ŽALGIRIO ARENA,0%,2021-12-13 04:00:06
ANTAKALNIS,0%,2021-12-13 05:00:06
BANGINIS,0%,2021-12-13 05:00:06
EUROPA,0%,2021-12-13 05:00:06
FABIJONIŠKĖS,0%,2021-12-13 05:00:06
PERKŪNKIEMIS,0%,2021-12-13 05:00:06
PILAITĖ,0%,2021-12-13 05:00:06
SAVANORIAI,1%,2021-12-13 05:00:06
ŠILAINIAI,1%,2021-12-13 05:00:06
ŽALGIRIO ARENA,0%,2021-12-13 05:00:06
ANTAKALNIS,1%,2021-12-13 06:00:06
BANGINIS,2%,2021-12-13 06:00:06
EUROPA,0%,2021-12-13 06:00:06
FABIJONIŠKĖS,0%,2021-12-13 06:00:06
PERKŪNKIEMIS,0%,2021-12-13 06:00:06
PILAITĖ,0%,2021-12-13 06:00:06
SAVANORIAI,3%,2021-12-13 06:00:06
ŠILAINIAI,4%,2021-12-13 06:00:06
ŽALGIRIO ARENA,0%,2021-12-13 06:00:06
ANTAKALNIS,4%,2021-12-13 07:00:06
BANGINIS,7%,2021-12-13 07:00:06
EUROPA,7%,2021-12-13 07:00:06
FABIJONIŠKĖS,5%,2021-12-13 07:00:06
PERKŪNKIEMIS,5%,2021-12-13 07:00:06
PILAITĖ,7%,2021-12-13 07:00:06
SAVANORIAI,5%,2021-12-13 07:00:06
ŠILAINIAI,11%,2021-12-13 07:00:06
ŽALGIRIO ARENA,6%,2021-12-13 07:00:06
ANTAKALNIS,6%,2021-12-13 08:00:06
BANGINIS,11%,2021-12-13 08:00:06
EUROPA,11%,2021-12-13 08:00:06
FABIJONIŠKĖS,6%,2021-12-13 08:00:06
PERKŪNKIEMIS,5%,2021-12-13 08:00:06
PILAITĖ,6%,2021-12-13 08:00:06
SAVANORIAI,4%,2021-12-13 08:00:06
ŠILAINIAI,11%,2021-12-13 08:00:06
ŽALGIRIO ARENA,10%,2021-12-13 08:00:06
ANTAKALNIS,8%,2021-12-13 09:00:06
BANGINIS,12%,2021-12-13 09:00:06
EUROPA,9%,2021-12-13 09:00:06
FABIJONIŠKĖS,7%,2021-12-13 09:00:06
PERKŪNKIEMIS,7%,2021-12-13 09:00:06
PILAITĖ,5%,2021-12-13 09:00:06
SAVANORIAI,7%,2021-12-13 09:00:06
ŠILAINIAI,14%,2021-12-13 09:00:06
